timestamp,open,high,low,close,volume
2020-08-01,2.85,4.8865,2.7431,4.7435,32245620.46
2020-09-01,4.7432,4.9475,2.0926,2.8967,78974725.9
2020-10-01,2.8967,2.9889,1.3163,1.5497,48387220.25
2020-11-01,1.5497,2.51,1.2733,1.9665,76292964.66
2020-12-01,1.9641,2.2279,1.0301,1.5073,61945745.79
2021-01-01,1.5088,4.805,1.499,4.2525,228385834.98
2021-02-01,4.2568,18.2052,4.1075,13.0887,170066006.82
2021-03-01,13.08,20.87,11.9,19.3861,90104218.62
2021-04-01,19.3818,48.644,18.345,42.786,180922013.722
2021-05-01,42.786,58.38,19.117,32.75,249386628.95
2021-06-01,32.759,44.2,20.187,35.51,199216801.653
2021-07-01,35.51,38.1,22.1,36.744,102288822.594
2021-08-01,36.742,130.11,32.327,108.27,181725369.047
2021-09-01,108.27,216.0,105.89,141.37,236133266.192
2021-10-01,141.38,218.93,137.61,202.49,114605196.61
2021-11-01,202.53,259.9,180.93,208.53,68861296.534
2021-12-01,208.52,243.12,148.04,169.99,60434462.78
2022-01-01,170.01,179.53,80.83,99.49,70430245.74
2022-02-01,99.5,121.93,75.35,99.68,81834353.15
2022-03-01,99.67,129.5,77.65,122.77,88732620.19
2022-04-01,122.79,143.51,81.91,84.63,74743724.67
2022-05-01,84.63,95.25,37.37,45.77,148459052.979
2022-06-01,45.78,46.12,25.86,33.76,198231660.377
2022-07-01,33.76,47.36,31.82,42.35,141628326.49
2022-08-01,42.34,48.38,30.0,31.5,114866446.86
2022-09-01,31.49,39.01,30.01,33.25,90360960.97
2022-10-01,33.25,34.5,26.84,32.56,67498109.73
2022-11-01,32.57,38.79,10.94,14.16,242970327.354
2022-12-01,14.17,14.96,8.0,9.97,101407945.881
2023-01-01,9.97,26.8,9.69,23.92,265361306.87
2023-02-01,23.93,27.12,19.68,21.89,146032257.04
2023-03-01,21.88,23.91,16.0,21.16,160787018.84
2023-04-01,21.15,26.0,19.85,22.74,115970002.98
2023-05-01,22.73,23.23,18.66,20.81,82153612.79
2023-06-01,20.82,22.3,12.8,18.86,130999917.56
2023-07-01,18.85,32.13,17.9,23.73,176704970.7
2023-08-01,23.72,25.42,19.35,19.74,91802148.77
2023-09-01,19.74,21.81,17.33,21.37,79497980.07
2023-10-01,21.37,38.62,20.93,38.4,165259407.56
2023-11-01,38.41,68.2,37.81,59.3,266176469.13
2023-12-01,59.3,126.36,58.6,101.72,261187238.348
2024-01-01,101.72,116.95,79.0,96.96,192777332.83
2024-02-01,96.96,134.65,92.88,125.68,143691973.85
2024-03-01,125.68,210.18,105.0,202.45,246081897.62
2024-04-01,202.45,204.46,116.0,126.77,177186886.735
2024-05-01,126.76,188.89,118.47,165.65,121068418.898
2024-06-01,165.65,175.6,122.0,146.61,82994747.732
2024-07-01,146.61,193.98,121.0,171.71,108037727.879
2024-08-01,171.7,172.91,110.0,135.35,145122003.348
2024-09-01,135.35,161.78,120.0,152.49,87807140.847
2024-10-01,152.51,183.38,133.11,168.69,96666160.084
2024-11-01,168.69,264.39,155.11,237.6,160987713.065
2024-12-01,237.6,247.0,175.26,189.31,129138945.76
2025-01-01,189.31,295.83,168.88,231.77,173562624.203
2025-02-01,231.77,236.46,125.55,148.18,129984305.965
2025-03-01,148.18,179.85,112.0,124.54,134328594.823
2025-04-01,124.53,157.0,95.26,147.54,134572064.554
2025-05-01,147.54,187.71,141.41,156.45,102492144.652
2025-06-01,156.45,168.36,126.0,154.81,87955546.904
2025-07-01,154.82,206.3,144.85,172.22,108642208.151
2025-08-01,172.22,218.0,155.83,200.62,139089645.256
2025-09-01,200.62,253.51,190.8,208.68,117023839.138
2025-10-01,208.68,237.79,168.79,187.21,133612362.644
2025-11-01,187.21,189.13,121.66,133.48,125089460.047
2025-12-01,133.48,146.91,123.11,130.76,47716663.528
